facility_name,srn,epa_class,properties.address_full,lat,long,geometry.coordinates,properties.violationCount,2018,2019,2020,2021,2022,2023,type,geometry.type,properties.group_id,properties.group_name,properties.color,properties.most_recent_vn,properties.violation_article,properties.facility_name,properties.srn
"METAL TECHNOLOGIES, INC., RAVENNA DUCTILE IRON",N5866,MAJOR,"3800 Adams Road, Ravenna, MI 49451",43.1826881,-85.9346845,"[-85.9346845,43.1826881]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2019-11-01,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5866/N5866_VN_20191101.pdf' target='_blank'>November 1, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceedance of the pound per hour limit for particulate matter (PM).</li></ul></p><br>","Metal Technologies, Inc., Ravenna Ductile Iron",N5866
DIAMOND CHROME PLATING INC,A2931,MINOR,"604 S Michigan, Howell, MI 48843",42.6029901,-83.93271229999999,"[-83.93271229999999,42.6029901]",5,2.0,3.0,0.0,0.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2019-10-30,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A2931/A2931_VN_20191030.pdf' target='_blank'>October 30, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Rule 285(2)(r)(iv) exemption has not been met, because emissions are not remaining within in-plant environment.</li><li>Air cleaning device was not properly installed, maintained, or operated.</li><li>A gap of over one inch was identified between the working mode cover and the degreaser.</li><li>The gap between the working mode cover and the degreaser constitutes a defect.</li><li>Date of repair to ductwork was not clearly identified for Roof Area Inspection Forms for leak discovered on 4/29/2019</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/A2931/A2931_VN_20190903.pdf' target='_blank'>September 3, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Freeboard refrigeration device temperature exceedances reported in semi-annual exceedance report for April 1, 2019 to June 30, 2019</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/A2931/A2931_VN_20190625.pdf' target='_blank'>June 25, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Recordkeeping shows exceedances, during January-March, 2019 of Subpart N surface tension limit of 33 dynes/cm, as measured with a tensiometer.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/A2931/A2931_VN_20181220.pdf' target='_blank'>December 20, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>2017 and 2018 recordkeeping show instances where freeboard refrigeration device (FRO) temperature limit in Subpart Twas exceeded.</li><li>Semiannual exceedance reports not submitted, prior to, or after, exceedances of FRO temoerature limit.</li><li>Recordkeeping shows exceedances in August 2018 of Subpart N surface tension limit of 33 dvnes/cm. Exceedances were not reported per area source reporting requirements of Suboart N.</li><li>Please see document.</li><li>Repairs to leaks were neither made nor documented in the Second Quarter 2018 RAIF for leaks identified on June 5 and 25, 2018.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/A2931/A2931_VN_20180514.pdf' target='_blank'>May 14, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Annual halogenated solvent consumption report submitted after the annual due date of February 1 specified in Subpart T.</li><li>The First Quarter 2018 RAIF noted three leaks on January 8, 2018 which were reported to be cleaned on January 9. No mention was made of repair, however.</li><li>The Third Quarter 2017 RAIF noted that for a leak identified on ductwork section VP1, on August 18, 2017, the leak was fixed, but did not identify the date the repair was made.</li></ul></p><br>",Diamond Chrome Plating Inc,A2931
VIANT MEDICAL INC.,N0795,MINOR,"520 Watson  SW, Grand Rapids, MI 49504",42.96101549999999,-85.6824421,"[-85.6824421,42.96101549999999]",4,2.0,2.0,0.0,0.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2019-10-29,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0795/N0795_VN_20191029.pdf' target='_blank'>October 29, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to properly maintain air pollution control equipment.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0795/N0795_VN_20190104.pdf' target='_blank'>January 4, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to meet the reauirements of Rule 901 (a).</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0795/N0795_VN_20181203.pdf' target='_blank'>December 3, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to conduct stack testing by November 30, 2018</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0795/N0795_VN_20180725.pdf' target='_blank'>July 25, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to maintain a 99 percent emission reduction from the sterilization chamber vents and/or !he aeration room vents as reauired.</li><li>Failure to maintain a mínimum cature and destruction efficiency of 99.5 percent by weight far Ethylene Oxide as required.</li></ul></p><br>",Viant Medical Inc.,N0795
AMERESCO WOODLAND MEADOWS ROMULUS LLC,P0317,MAJOR,"4620 Hannan Rd, Canton Twp, MI 48184",42.2729774,-83.427792,"[-83.427792,42.2729774]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2019-10-28,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0317/P0317_VN_20191028.pdf' target='_blank'>October 28, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The facility failed to properly calibrate the temperature monitoring device. This device is required to be calibrated at least once per year. Approximately 22 months passed between the installation of the device in November 2017 and annual calibration in September 2019.</li></ul></p><br>",Ameresco Woodland Meadows Romulus LLC,P0317
FORD MOTOR CO ROUGE COMPLEX,A8648,MEGASITE,"3001  Miller Rd, Dearborn, MI 48121",42.3059333,-83.16757989999999,"[-83.16757989999999,42.3059333]",2,1.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,1,Megasite,#8F0043,2019-10-17,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A8648/A8648_VN_20191017.pdf' target='_blank'>October 17, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Did not maintain the desorption gas inlet temperature for the carbon concentrator.</li><li>Failure to provide notice of an abnormal condition or malfunction continuing for more than 2 hours within the proper timeframe.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/A8648/A8648_VN_20180926.pdf' target='_blank'>September 26, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>RTO Tower #1 high temperature fault resulting in bypass of the RTO on August 3, 2018. The system faulted out on 5 occasions after start up. The burner system was scheduled for replacement in July but was delayed due to a supplier issue.</li></ul></p><br>",Ford Motor Co Rouge Complex,A8648
CONSOLIDATED STRIPPING & DERUSTING,N3689,,"942 Industrial Parkway, Plainwell, MI 49080",42.4477197,-85.6269052,"[-85.6269052,42.4477197]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,5,Unknown,#DCDCDC,2019-10-14,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N3689/N3689_VN_20191014.pdf' target='_blank'>October 14, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The facility had a coating line that was applying paint with a spray gun outside with no particulate matter controls. The facility also did not maintain records that showed the coating usage per month. Rule 287(2)(c) requires that monthly coating usage records be maintained on file for 2 years and made available at the departments request. Rule 287(2)(c) requires that a coating line that exhaust outside be equipped with a dry filter control or water wash equipment.</li></ul></p><br>",Consolidated Stripping & Derusting,N3689
HAWORTH INC,B7186,MAJOR,"One  Haworth Center, Holland, MI 49423",42.7529183,-86.084549,"[-86.084549,42.7529183]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2019-10-14,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7186/B7186_VN_20191014.pdf' target='_blank'>October 14, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Haworth is required to not operate this unit unless the sand bed is preheated to a minimum of 650 degrees Fahrenheit before the parts are loaded into the sand bed for processing. Mr. Kozminski stated during the inspection that parts are loaded into the sand bed before a pre-heating occurs. It was stated to Staff that this is not how the unit was designed to operate. EU- SANDSTRIPPER still has the permit condition and the facility should either apply for a permit modification or operate the unit in a manner that complies with Special Condition 111.3</li><li>Haworth is required to maintain records of the number of batches of material processed per day. The facility is also required to keep the records on file, in a format acceptable to the AQD District Supervisor. While the facility does keep records of the number of batches using a Java application. Records are shown using araohs in which Haworth has to manually</li><li>select a date then count the number of batches to be reviewed. There is no separate stand-alone recordkeeping system in which the records show a date the unit was used with the corresponding number of batches that were processed that day like they do for the month recordkeeping. Staff does not feel the current recordkeeping system meets a format acceptable to the District Supervisor.</li><li>The facility shall not operate EU- SANDSTRIPPER unless the flame combustion zone, secondary afterburner is installed, maintained, and operated in a satisfactory manner. Satisfactory operation is defined in the special condition to include maintaining a minimum temperature of 1,500 degrees Fahrenheit. Staff noted that there were multiple times where the after burner did not maintain the required 1,500 degrees Fahrenheit. Specific times and temperatures that were noted were July 29, 2019 at 7:04 AM Haworth recorded an afterburner temperature of 1,471 degrees Fahrenheit while the unit was operation. Haworth also recorded on July 31, 2019 at 3:41 PM that the afterburner temperature was 1,482 deqrees Fahrenheit.</li><li>Haworth is required to conduct weekly visible emissions observations, as described in appendix 3. Appendix 3 requires that requires that the facility follow the monitoring procedures, methods, or specifications using steps 1-5 for FG- WOOD. Step 2 states if visible emissions are observed, the maintenance supervisor shall be notified immediately. Haworth Staff noted that there were visible emissions on Baghouse #5 on March 20, 2019 and recorded that maintenance was contacted. Step 3 requires that a determination of needed repairs and/or maintenance shall be performed within 24 hours and recorded. Records not that maintenance determined that the bag needed to be changed and was scheduled</li></ul></p><br>",Haworth Inc,B7186
SHERWIN-WILLIAMS COMPANY,B7711,MAJOR,"636 East 40th Street, Holland, MI 49423",42.7611306,-86.0808349,"[-86.0808349,42.7611306]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2019-10-14,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7711/B7711_VN_20191014.pdf' target='_blank'>October 14, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Staff observed that the facility did have one parts washer during the inspection. After the inspection staff was told that facility has 6 cold cleaning stations with 3 of them ventilating outside. Staff was told that the facility typically fills these units with acetone and will occasionally use hexane. Acetone is considered and exempt VOC and therefore would not meet the definition of a cold cleaner. The facility using Hexane would meet the cold cleaner definition.</li><li>After review of the SOS provided for Hexane the vapor pressure was 17.7 hPa for Hexane his converts to roughly 2.57 psi. Part 7 rules require specifically Rule 707(3)(a)(i) requires that solvents that have a Reid Vapor pressure greater than 0.3 psia shall use a cover that is mechanically assisted. During the inspection the cold cleaner that was observed did not have a mechanically assisted cover. The facility would be in violation of the Part 7 rules when Hexane is used. The facility should be keeping acetone usage records for the units that ventilate outside as it appears that Rule 290 is the only exemption that would be applicable.</li></ul></p><br>",Sherwin-Williams Company,B7711
OTSEGO PAPER INC,A0023,MAJOR,"320 N Farmer St., Otsego, MI 49078",42.46431399999999,-85.6940437,"[-85.6940437,42.46431399999999]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2019-10-09,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A0023/A0023_VN_20191009.pdf' target='_blank'>October 9, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Facility is required to continuously monitor NOx emissions and the flue gas oxygen concentrations from EUTURBINE1. It is required that both the NOx emissions and flue gas oxygen concentration be monitored and recorded in a manner and with instrumentations in compliance with Performance Specification 3, of Appendix B, 40 CFR Part 60. Facility reported downtime that lasted 6 Days and 9 Hours. This equates to roughly a 7% monitor downtime for the GEMS unit on EUTURBINE1 for the reporting period of July 1, 2019 to September 30, 2019.</li></ul></p><br>",Otsego Paper Inc,A0023
PPI AEROSPACE,N6857,SM OPT OUT,"23514 Groesbeck Highway, Warren, MI 48089",42.4678603,-82.9878706,"[-82.9878706,42.4678603]",5,4.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2019-10-08,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6857/N6857_VN_20191008.pdf' target='_blank'>October 8, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The permittee did not maintain the vapor degreaser as required by the PTI. The permit requires that the degreaser should contain only clean liquid solvent on the first operating day of each month.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6857/N6857_VN_20180725.pdf' target='_blank'>July 25, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Second Violation Notice</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6857/N6857_VN_20180619.pdf' target='_blank'>June 19, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2017 air pollution report</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6857/N6857_VN_20180612.pdf' target='_blank'>June 12, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The degreaser cover was not completely covering the degreaser opening while in downtime mode.</li><li>The permittee did not keep/submit the following records/reports: • Monthly and 12-month rolling TCE emissions • Monthly cover inspections • HAP content of solvent used • Maintenance and repairs • Hoist speed determinations • Idling emission rate • Semi-Annual exceedance report required in 40 CFR 63.468 • Annual report required in 40 CFR 63.468</li><li>Please see document.</li><li>The permittee did not keep monthly and 12-month rolling time period individual HAP and total HAP emission rate calculations for FGFACILITY. The permittee did not keep records of: • Coating purchase orders • Gallons of coating and clean- up solvent used • Monthly and 12-month rolling VOC time period emissions for the maskinq process</li><li>The permittee did not keep monthly and 12-month rolling VOC time period emissions for the maskinq process. The permittee operated an HCI tank on C Line vented to a scrubber without first obtaining a oermit to install.</li><li>The permittee operated a process involving boiling waste copper strip solution to evaporate liauids.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6857/N6857_VN_20180523.pdf' target='_blank'>May 23, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2017 air pollution report</li></ul></p><br>",PPI Aerospace,N6857
"PVS TRANSPORTATION, INC.",B3427,MINOR,"11001 Harper Ave, Detroit, MI 48213",42.396989,-82.9942068,"[-82.9942068,42.396989]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2019-10-07,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B3427/B3427_VN_20191007.pdf' target='_blank'>October 7, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Scrubber flow rate was not maintained above 30 gpm</li></ul></p><br>","PVS Transportation, Inc.",B3427
"HEARTLAND STEEL PRODUCTS, LLC",B8824,SM OPT OUT,"302 Carleton St., Marysville, MI 48040",42.8862567,-82.4817906,"[-82.4817906,42.8862567]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2019-10-04,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B8824/B8824_VN_20191004.pdf' target='_blank'>October 4, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 2420 Wills Street</span></p><p><ul><li>The permittee is not keeping the required temperature records for the secondary chamber/afterburner every 15 minutes for EU-BURNOFF.</li></ul></p><br>","Heartland Steel Products, LLC",B8824
A & C ELECTRIC,N6908,MINOR,"41225 Irwin Road, Harrison Twp, MI 48045",42.5982464,-82.85257759999999,"[-82.85257759999999,42.5982464]",2,1.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2019-09-27,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6908/N6908_VN_20190927.pdf' target='_blank'>September 27, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The records of pounds of wire processed per batch in the burn-off oven do not sufficiently demonstrate com□liance.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6908/N6908_VN_20181019.pdf' target='_blank'>October 19, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>A & C Electric operated an electrical wire coating process without first obtaining a permit to install.</li></ul></p><br>",A & C Electric,N6908
LELAND INTERNATIONAL,N7420,MINOR,"5695 Eagle Drive SE, Kentwood, MI 49512",42.9014215,-85.52702459999999,"[-85.52702459999999,42.9014215]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2019-09-27,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7420/N7420_VN_20190927.pdf' target='_blank'>September 27, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>VOC The coating content for two sealers exceeded the 4.60 lb/gallon limit (minus water and exempt solvents).</li><li>VOC The coating content for four stains exceeded the 6.70 lb/gallon limit (minus water and exempt solvents\.</li></ul></p><br>",Leland International,N7420
TENNECO,N2668,,"3901 Willis Road, Grass Lake, MI 49240",42.28755779999999,-84.2250803,"[-84.2250803,42.28755779999999]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,5,Unknown,#DCDCDC,2019-09-26,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2668/N2668_VN_20190926.pdf' target='_blank'>September 26, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Unable to adequately demonstrate an applicable exemption from Permit to Install (PTI) requirements.</li><li>Potential to Emit (PTE) of air pollutants above major source threshold levels.</li></ul></p><br>",Tenneco,N2668
CENTRAL SANITARY LANDFILL,N2804,MAJOR,"21545 Cannonsville Rd, Pierson, MI 49339",43.3376059,-85.5143674,"[-85.5143674,43.3376059]",3,1.0,2.0,0.0,0.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2019-09-26,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2804/N2804_VN_20190926.pdf' target='_blank'>September 26, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>From January 2019 through July 2019, the company did not have accurate temperature records indicating flame presence when gas flow was to the flare.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2804/N2804_VN_20190214.pdf' target='_blank'>February 14, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The information provided with the revised MAERS calculations demonstrate that actual emissions of sulfur dioxide (SO2) from the flare have increased from those evaluated during the oriqinal permit evaluation.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2804/N2804_VN_20181119.pdf' target='_blank'>November 19, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Testing conducted in September 2018 showed sulfur dioxide emissions of 3.6 lbs/hour which is above the 2.6 lbs/hour limit in the permit.</li><li>Testing conducted in September 2018 showed sulfur dioxide emissions of 1.90 lbs/hour which is above the 1.5 lbs/hour limit in the permit.</li></ul></p><br>",Central Sanitary Landfill,N2804
GERDAU SPECIAL STEEL NORTH AMERICA - JACKSON MILL,B4306,MAJOR,"3100  Brooklyn Rd, Jackson, MI 49203",42.2007598,-84.36427839999999,"[-84.36427839999999,42.2007598]",3,2.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2019-09-25,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4306/B4306_VN_20190925.pdf' target='_blank'>September 25, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Wooden pallets and other trash are being added to slag inside the Mill and continue to burn when the slag is placed on the ground to cool prior to processing. This is a repeat violation from June 13, 2018.</li><li>Opacity in excess of 20% was observed on the roof coming from a small vent pipe above the Caster process. The Company reported on September 24, 2019, that the vent oioe has</li><li>been removed and emissions are now evacuated into the Castor baghouse instead resolving the opacity issue.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4306/B4306_VN_20180613.pdf' target='_blank'>June 13, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Currently, there are no permit exemptions that this process would qualify for.</li><li>Wooden pallets, plastics and other trash generated from the Melt Shop are being disposed of in slag that is moved out of the facility and left to burn on the qround.</li><li>EAF control room pulpit computer printout showed that the tap damper and center damper associated with the canopy hood</li><li>collection system for EAF #2 were closed. Per Meltshop Air Pollution Control System Evaluation Preliminary Report dated January 29, 2016, indicated that proper operation requires that canopy dampers be 100% open through the entire melt cycle. The inspection showed that these closed dampers resulted in excess opacity exiting the building via the Caster roof monitor style vent located on the roof of the Melt Shop.</li><li>Requires that the stack test report shall include, at a minimum, the mercury concentration of the raw material feed (carbon, coal, coke, lime, etc.) as provided by the supplier. A review of the last required stack test report from 2014 showed that it did not contain that information.</li><li>Condition Vl.4 requires the permittee to conduct non- certified visible emission reading(s) for FG- EAF/LMFNAD from DV-BH- 3 especially during charging at least once per operating day. The intent of this condition it to look for opacity when the most smoke is being generated from the EAF's. Staff discussed this issue with the EAF operators. They indicated that for each melt there are 2 charges. The first charge goes into an empty EAF chamber (no</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B4306/B4306_VN_20180320.pdf' target='_blank'>March 20, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Company previously submitted information in an attempt to show that the process is exempt from Rule 290 but emissions factor used were for stone crushing and they also didn't quantify potential air toxics emissions from heavy metals in the slag. There is also no fugitive dust plan for the operation and significant opacity was noted during the inspection resulting from excessive drop distance of fine material between conveyors and storage piles.</li></ul></p><br>",Gerdau Special Steel North America - Jackson Mill,B4306
FCA US LLC - DUNDEE ENGINE PLANT,N7228,MAJOR,"5800 N. Ann Arbor Rd, Dundee, MI 48131",41.9797666,-83.6726201,"[-83.6726201,41.9797666]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2019-09-24,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7228/N7228_VN_20190924.pdf' target='_blank'>September 24, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>At this time, the AQD has not received FCA US LLC - Dundee Engine Plant's semiannual monitoring and deviation report for January 1 - June 30,, which was required to be postmarked or received by the AQD district office by September 15, 2019.</li></ul></p><br>",FCA (US) LLC - Dundee Engine Plant,N7228
"HAVILAND ENTERPRISES, INC",N0878,SM OPT OUT,"421 Ann St NW, Grand Rapids, MI 49504",42.9967337,-85.6797643,"[-85.6797643,42.9967337]",3,2.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2019-09-19,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0878/N0878_VN_20190919.pdf' target='_blank'>September 19, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to properly maintain and operate an air-cleaning device.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0878/N0878_VN_20181002.pdf' target='_blank'>October 2, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to properly operate a pollution control device.</li><li>Failure to properly operate a pollution control device</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0878/N0878_VN_20180524.pdf' target='_blank'>May 24, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to obtain a permit to install</li></ul></p><br>","Haviland Enterprises, Inc",N0878
PAYNE & DOLAN INC  C21,N3512,SM OPT OUT,"C21 Portable Asphalt Plant #336-92R, Gladstone,   MI   49837",46.11904816,-85.16746767,"[-85.1675213187194, 46.119025844678625]",1,0.0,1.0,0.0,0.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2019-09-17,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N3512/N3512_VN_20190917.pdf' target='_blank'>September 17, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 6799 Hiawatha Trail</span></p><p><ul><li>Facility was unable to produce records of the pounds of CO emitted per ton of asphalt from the production data associated with the date and time the burner check occurred.</li><li>Facility was unable to produce records of a logbook or sheet that includes the date and time of any visible emissions observed from the baghouse stack, along with corrective actions that followed.</li><li>Facility was unable to produce records of the date, time, and findings of all visual inspections on the interior components of the _ baqhouse.</li></ul></p><br>",Payne & Dolan Inc  C21,N3512
MICHIGAN METAL COATINGS,N0950,SM OPT OUT,"2015 Dove Street, Port Huron, MI 48060",42.9527675,-82.44768650000002,"[-82.44768650000002,42.9527675]",5,1.0,4.0,0.0,0.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2019-09-12,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0950/N0950_VN_20190912.pdf' target='_blank'>September 12, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>RTO was not in operation while the facility's coating processes were in operation from 12 a.m. through 2:14 p.m. (August 22, 2019). This constitutei a violation of SC IV.1 of FGCOATER (PTI No. 116-068), and Rule 910.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0950/N0950_VN_20190503.pdf' target='_blank'>May 3, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>VOC Per the emission records for EUWASTEEVAP, as of February 2019, the VOC emissions from wastewater evaporator were 6.65 TPY on a 12-month rolling time period and it exceeded the permit limit of 5.00 TPY.</li><li>Per the VOC emission records for EUCOATER5, as of February 2019, VOC the daily volume-weighted average of contents of the coatings as applied on a daily basis for EUCOATER5 exceeded the permit limit of 3.5 lb/gal (minus water) on April 2-5, April 7, April 9-13, April 16-21, April 23-27, April 30, May 1-4, May 7-8, May 10-11, May 14-19, May22-25, and May 29-31, 2018.</li><li>During this inspection, the primary burner temperature was 496 degrees Fahrenheit and the afterburner temperature was 1289 degrees Fahrenheit. This is a violation of SC IV.3 because SC IV.3 requires an interlock system that means the primary burner won't start until the secondary burner reaches the minimum temperature of 1400 degrees Fahrenheit. The afterburner temperature started increasing. Meanwhile, the primary burner also started.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0950/N0950_VN_20190228.pdf' target='_blank'>February 28, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 1720 Dove Street</span></p><p><ul><li>During this inspection, it was noted that two WMV Tulz coating booths were installed at this facility. This is a violation of Rule 201 of the administrative rules promulaated under Act 451.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0950/N0950_VN_20190207.pdf' target='_blank'>February 7, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>VOC Per the monthly records, VOC emissions from the company's EUWASTEEVAP exceeded the emission limit of five (5) TPY during the period of September through December 2018.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0950/N0950_VN_20181018.pdf' target='_blank'>October 18, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>There was a rain-cap on the top of the burn-off oven stack preventing the exhaust gases from the stack from being discharged unobstructed vertically upwards to the ambient air.</li><li>There was a rain-cap on the top of the waste evaporator stack preventing the exhaust gases from the stack from being discharged unobstructed vertically upwards to the ambient air.</li><li>Michigan Metal Coatings did not keep records of the daily and VOC monthly coating usage and emissions for FGCOATERS and EUWASTEEVAP for June 2018 (FGCOATERS) and March - July 2018 (EUWASTEEVAP).</li></ul></p><br>",Michigan Metal Coatings,N0950
